No.;Time;;Time 1;Time 2;Delay ;;Delay 1;Delay 2;Jitter
1;0;;0;0;0;;0;0;0
2;0;;0;0;0;;0;0;0
3;0;;0;0;0;;0;-0,000097;-0,000097
4;0;;0;0;0;;-0,000097;0,000029;0,000126
5;0;;0;0,000097;0,000097;;0,000029;-0,000089;-0,000118
6;0,000097;;0,000097;0,000165;0,000068;;-0,000089;-4,10E-05;4,80E-05
7;0,000165;;0,000165;0,000322;0,000157;;-4,10E-05;-0,028746;-0,028705
8;0,000322;;0,000322;0,00052;0,000198;;-0,028746;0,028944;0,05769
9;0,00052;;0,00052;0,029464;0,028944;;0,028944;-8,50E-05;-0,029029
10;0,029464;;0,029464;0,029464;0;;-8,50E-05;-0,0001;-1,50E-05
11;0,029464;;0,029464;0,029549;8,50E-05;;-0,0001;-0,017136;-0,017036
12;0,029549;;0,029549;0,029734;0,000185;;-0,017136;-0,026716;-0,00958
13;0,029734;;0,029734;0,047055;0,017321;;-0,026716;-0,038812;-0,012096
14;0,047055;;0,047055;0,091092;0,044037;;-0,038812;0,082849;0,121661
15;0,091092;;0,091092;0,173941;0,082849;;0,082849;0;-0,082849
16;0,173941;;0,173941;0,173941;0;;0;-6,50E-05;-6,50E-05
17;0,173941;;0,173941;0,173941;0;;-6,50E-05;-0,000144;-7,90E-05
18;0,173941;;0,173941;0,174006;6,50E-05;;-0,000144;-0,027334;-0,02719
19;0,174006;;0,174006;0,174215;0,000209;;-0,027334;0,021397;0,048731
20;0,174215;;0,174215;0,201758;0,027543;;0,021397;-0,035782;-0,057179
21;0,201758;;0,201758;0,207904;0,006146;;-0,035782;-0,000212;0,03557
22;0,207904;;0,207904;0,249832;0,041928;;-0,000212;0,04214;0,042352
23;0,249832;;0,249832;0,291972;0,04214;;0,04214;0;-0,04214
24;0,291972;;0,291972;0,291972;0;;0;0;0
25;0,291972;;0,291972;0,291972;0;;0;0;0
26;0,291972;;0,291972;0,291972;0;;0;-8,60E-05;-8,60E-05
27;0,291972;;0,291972;0,291972;0;;-8,60E-05;2,30E-05;0,000109
28;0,291972;;0,291972;0,292058;8,60E-05;;2,30E-05;-0,000202;-0,000225
29;0,292058;;0,292058;0,292121;6,30E-05;;-0,000202;-5,55E-17;0,000202
30;0,292121;;0,292121;0,292386;0,000265;;-5,55E-17;-0,005186;-0,005186
31;0,292386;;0,292386;0,292651;0,000265;;-0,005186;-0,010203;-0,005017
32;0,292651;;0,292651;0,298102;0,005451;;-0,010203;0,007778;0,017981
33;0,298102;;0,298102;0,313756;0,015654;;0,007778;-0,080529;-0,088307
34;0,313756;;0,313756;0,321632;0,007876;;-0,080529;0,065639;0,146168
35;0,321632;;0,321632;0,410037;0,088405;;0,065639;-0,064289;-0,129928
36;0,410037;;0,410037;0,432803;0,022766;;-0,064289;0,087055;0,151344
37;0,432803;;0,432803;0,519858;0,087055;;0,087055;-0,000147;-0,087202
38;0,519858;;0,519858;0,519858;0;;-0,000147;-0,20425;-0,204103
39;0,519858;;0,519858;0,520005;0,000147;;-0,20425;-0,136847;0,067403
40;0,520005;;0,520005;0,724402;0,204397;;-0,136847;0,341215;0,478062
41;0,724402;;0,724402;1,065646;0,341244;;0,341215;-0,02477;-0,365985
42;1,065646;;1,065646;1,065675;2,90E-05;;-0,02477;0,024799;0,049569
43;1,065675;;1,065675;1,090474;0,024799;;0,024799;-7,40E-05;-0,024873
44;1,090474;;1,090474;1,090474;0;;-7,40E-05;-0,000232;-0,000158
45;1,090474;;1,090474;1,090548;7,40E-05;;-0,000232;-0,057619;-0,057387
46;1,090548;;1,090548;1,090854;0,000306;;-0,057619;0,05786;0,115479
47;1,090854;;1,090854;1,148779;0,057925;;0,05786;-0,043394;-0,101254
48;1,148779;;1,148779;1,148844;6,50E-05;;-0,043394;-0,224814;-0,18142
49;1,148844;;1,148844;1,192303;0,043459;;-0,224814;0,242121;0,466935
50;1,192303;;1,192303;1,460576;0,268273;;0,242121;0,024543;-0,217578
51;1,460576;;1,460576;1,486728;0,026152;;0,024543;0,001609;-0,022934
52;1,486728;;1,486728;1,488337;0,001609;;0,001609;-0,000509;-0,002118
53;1,488337;;1,488337;1,488337;0;;-0,000509;-0,002953;-0,002444
54;1,488337;;1,488337;1,488846;0,000509;;-0,002953;-0,005644;-0,002691
55;1,488846;;1,488846;1,492308;0,003462;;-0,005644;-0,001095;0,004549
56;1,492308;;1,492308;1,501414;0,009106;;-0,001095;0,007582;0,008677
57;1,501414;;1,501414;1,511615;0,010201;;0,007582;-0,008243;-0,015825
58;1,511615;;1,511615;1,514234;0,002619;;-0,008243;0,010311;0,018554
59;1,514234;;1,514234;1,525096;0,010862;;0,010311;-0,040763;-0,051074
60;1,525096;;1,525096;1,525647;0,000551;;-0,040763;-0,409942;-0,369179
61;1,525647;;1,525647;1,566961;0,041314;;-0,409942;0,407441;0,817383
62;1,566961;;1,566961;2,018217;0,451256;;0,407441;0,043605;-0,363836
63;2,018217;;2,018217;2,062032;0,043815;;0,043605;0,00021;-0,043395
64;2,062032;;2,062032;2,062242;0,00021;;0,00021;0;-0,00021
65;2,062242;;2,062242;2,062242;0;;0;0;0
66;2,062242;;2,062242;2,062242;0;;0;0;0
67;2,062242;;2,062242;2,062242;0;;0;0;0
68;2,062242;;2,062242;2,062242;0;;0;0;0
69;2,062242;;2,062242;2,062242;0;;0;0;0
70;2,062242;;2,062242;2,062242;0;;0;0;0
71;2,062242;;2,062242;2,062242;0;;0;0;0
72;2,062242;;2,062242;2,062242;0;;0;0;0
73;2,062242;;2,062242;2,062242;0;;0;0;0
74;2,062242;;2,062242;2,062242;0;;0;0;0
75;2,062242;;2,062242;2,062242;0;;0;0;0
76;2,062242;;2,062242;2,062242;0;;0;0;0
77;2,062242;;2,062242;2,062242;0;;0;0;0
78;2,062242;;2,062242;2,062242;0;;0;0;0
79;2,062242;;2,062242;2,062242;0;;0;0;0
80;2,062242;;2,062242;2,062242;0;;0;0;0
81;2,062242;;2,062242;2,062242;0;;0;0;0
82;2,062242;;2,062242;2,062242;0;;0;0;0
83;2,062242;;2,062242;2,062242;0;;0;0;0
84;2,062242;;2,062242;2,062242;0;;0;0;0
85;2,062242;;2,062242;2,062242;0;;0;0;0
86;2,062242;;2,062242;2,062242;0;;0;0;0
87;2,062242;;2,062242;2,062242;0;;0;0;0
88;2,062242;;2,062242;2,062242;0;;0;0;0
89;2,062242;;2,062242;2,062242;0;;0;0;0
90;2,062242;;2,062242;2,062242;0;;0;0;0
91;2,062242;;2,062242;2,062242;0;;0;0;0
92;2,062242;;2,062242;2,062242;0;;0;0;0
93;2,062242;;2,062242;2,062242;0;;0;0;0
94;2,062242;;2,062242;2,062242;0;;0;-0,000472;-0,000472
95;2,062242;;2,062242;2,062242;0;;-0,000472;0,000472;0,000944
96;2,062242;;2,062242;2,062714;0,000472;;0,000472;0;-0,000472
97;2,062714;;2,062714;2,062714;0;;0;0;0
98;2,062714;;2,062714;2,062714;0;;0;0;0
99;2,062714;;2,062714;2,062714;0;;0;0;0
100;2,062714;;2,062714;2,062714;0;;0;0;0
101;2,062714;;2,062714;2,062714;0;;0;0;0
102;2,062714;;2,062714;2,062714;0;;0;0;0
103;2,062714;;2,062714;2,062714;0;;0;0;0
104;2,062714;;2,062714;2,062714;0;;0;0;0
105;2,062714;;2,062714;2,062714;0;;0;0;0
106;2,062714;;2,062714;2,062714;0;;0;0;0
107;2,062714;;2,062714;2,062714;0;;0;0;0
108;2,062714;;2,062714;2,062714;0;;0;0;0
109;2,062714;;2,062714;2,062714;0;;0;0;0
110;2,062714;;2,062714;2,062714;0;;0;0;0
111;2,062714;;2,062714;2,062714;0;;0;0;0
112;2,062714;;2,062714;2,062714;0;;0;0;0
113;2,062714;;2,062714;2,062714;0;;0;-0,000991;-0,000991
114;2,062714;;2,062714;2,062714;0;;-0,000991;-0,000156;0,000835
115;2,062714;;2,062714;2,063705;0,000991;;-0,000156;0,000773;0,000929
116;2,063705;;2,063705;2,064852;0,001147;;0,000773;5,30E-05;-0,00072
117;2,064852;;2,064852;2,065226;0,000374;;5,30E-05;-0,000374;-0,000427
118;2,065226;;2,065226;2,065547;0,000321;;-0,000374;-7,00E-06;0,000367
119;2,065547;;2,065547;2,066242;0,000695;;-7,00E-06;0,000702;0,000709
120;2,066242;;2,066242;2,066944;0,000702;;0,000702;0;-0,000702
121;2,066944;;2,066944;2,066944;0;;0;0;0
122;2,066944;;2,066944;2,066944;0;;0;0;0
123;2,066944;;2,066944;2,066944;0;;0;0;0
124;2,066944;;2,066944;2,066944;0;;0;0;0
125;2,066944;;2,066944;2,066944;0;;0;0;0
126;2,066944;;2,066944;2,066944;0;;0;0;0
127;2,066944;;2,066944;2,066944;0;;0;0;0
128;2,066944;;2,066944;2,066944;0;;0;0;0
129;2,066944;;2,066944;2,066944;0;;0;0;0
130;2,066944;;2,066944;2,066944;0;;0;0;0
131;2,066944;;2,066944;2,066944;0;;0;0;0
132;2,066944;;2,066944;2,066944;0;;0;-0,000507;-0,000507
133;2,066944;;2,066944;2,066944;0;;-0,000507;0,000233;0,00074
134;2,066944;;2,066944;2,067451;0,000507;;0,000233;0,000145;-8,80E-05
135;2,067451;;2,067451;2,067725;0,000274;;0,000145;-0,004955;-0,0051
136;2,067725;;2,067725;2,067854;0,000129;;-0,004955;0,005084;0,010039
137;2,067854;;2,067854;2,072938;0,005084;;0,005084;0;-0,005084
138;2,072938;;2,072938;2,072938;0;;0;0;0
139;2,072938;;2,072938;2,072938;0;;0;0;0
140;2,072938;;2,072938;2,072938;0;;0;0;0
141;2,072938;;2,072938;2,072938;0;;0;0;0
142;2,072938;;2,072938;2,072938;0;;0;0;0
143;2,072938;;2,072938;2,072938;0;;0;0;0
144;2,072938;;2,072938;2,072938;0;;0;0;0
145;2,072938;;2,072938;2,072938;0;;0;0;0
146;2,072938;;2,072938;2,072938;0;;0;0;0
147;2,072938;;2,072938;2,072938;0;;0;-0,000631;-0,000631
148;2,072938;;2,072938;2,072938;0;;-0,000631;0,00023;0,000861
149;2,072938;;2,072938;2,073569;0,000631;;0,00023;0,000267;3,70E-05
150;2,073569;;2,073569;2,07397;0,000401;;0,000267;-0,001035;-0,001302
151;2,07397;;2,07397;2,074104;0,000134;;-0,001035;0,000872;0,001907
152;2,074104;;2,074104;2,075273;0,001169;;0,000872;0,000297;-0,000575
153;2,075273;;2,075273;2,07557;0,000297;;0,000297;0;-0,000297
154;2,07557;;2,07557;2,07557;0;;0;0;0
155;2,07557;;2,07557;2,07557;0;;0;0;0
156;2,07557;;2,07557;2,07557;0;;0;0;0
157;2,07557;;2,07557;2,07557;0;;0;0;0
158;2,07557;;2,07557;2,07557;0;;0;0;0
159;2,07557;;2,07557;2,07557;0;;0;0;0
160;2,07557;;2,07557;2,07557;0;;0;-0,00101;-0,00101
161;2,07557;;2,07557;2,07557;0;;-0,00101;0,00101;0,00202
162;2,07557;;2,07557;2,07658;0,00101;;0,00101;0;-0,00101
163;2,07658;;2,07658;2,07658;0;;0;0;0
164;2,07658;;2,07658;2,07658;0;;0;0;0
165;2,07658;;2,07658;2,07658;0;;0;0;0
166;2,07658;;2,07658;2,07658;0;;0;0;0
167;2,07658;;2,07658;2,07658;0;;0;-0,000276;-0,000276
168;2,07658;;2,07658;2,07658;0;;-0,000276;-3,00E-06;0,000273
169;2,07658;;2,07658;2,076856;0,000276;;-3,00E-06;-0,000845;-0,000842
170;2,076856;;2,076856;2,077135;0,000279;;-0,000845;0,001124;0,001969
171;2,077135;;2,077135;2,078259;0,001124;;0,001124;0;-0,001124
172;2,078259;;2,078259;2,078259;0;;0;0;0
173;2,078259;;2,078259;2,078259;0;;0;0;0
174;2,078259;;2,078259;2,078259;0;;0;0;0
175;2,078259;;2,078259;2,078259;0;;0;0;0
176;2,078259;;2,078259;2,078259;0;;0;-0,000268;-0,000268
177;2,078259;;2,078259;2,078259;0;;-0,000268;-0,000167;0,000101
178;2,078259;;2,078259;2,078527;0,000268;;-0,000167;-0,001012;-0,000845
179;2,078527;;2,078527;2,078962;0,000435;;-0,001012;0,001447;0,002459
180;2,078962;;2,078962;2,080409;0,001447;;0,001447;0;-0,001447
181;2,080409;;2,080409;2,080409;0;;0;0;0
182;2,080409;;2,080409;2,080409;0;;0;0;0
183;2,080409;;2,080409;2,080409;0;;0;0;0
184;2,080409;;2,080409;2,080409;0;;0;0;0
185;2,080409;;2,080409;2,080409;0;;0;-0,000262;-0,000262
186;2,080409;;2,080409;2,080409;0;;-0,000262;-0,000996;-0,000734
187;2,080409;;2,080409;2,080671;0,000262;;-0,000996;-0,001064;-6,80E-05
188;2,080671;;2,080671;2,081929;0,001258;;-0,001064;0,002322;0,003386
189;2,081929;;2,081929;2,084251;0,002322;;0,002322;0;-0,002322
190;2,084251;;2,084251;2,084251;0;;0;0;0
191;2,084251;;2,084251;2,084251;0;;0;0;0
192;2,084251;;2,084251;2,084251;0;;0;0;0
193;2,084251;;2,084251;2,084251;0;;0;0;0
194;2,084251;;2,084251;2,084251;0;;0;0;0
195;2,084251;;2,084251;2,084251;0;;0;0;0
196;2,084251;;2,084251;2,084251;0;;0;0;0
197;2,084251;;2,084251;2,084251;0;;0;0;0
198;2,084251;;2,084251;2,084251;0;;0;0;0
199;2,084251;;2,084251;2,084251;0;;0;0;0
200;2,084251;;2,084251;2,084251;0;;0;0;0
201;2,084251;;2,084251;2,084251;0;;0;0;0
202;2,084251;;2,084251;2,084251;0;;0;0;0
203;2,084251;;2,084251;2,084251;0;;0;-0,000496;-0,000496
204;2,084251;;2,084251;2,084251;0;;-0,000496;9,60E-05;0,000592
205;2,084251;;2,084251;2,084747;0,000496;;9,60E-05;0,0004;0,000304
206;2,084747;;2,084747;2,085147;0,0004;;0,0004;0;-0,0004
207;2,085147;;2,085147;2,085147;0;;0;0;0
208;2,085147;;2,085147;2,085147;0;;0;0;0
209;2,085147;;2,085147;2,085147;0;;0;-0,000234;-0,000234
210;2,085147;;2,085147;2,085147;0;;-0,000234;1,30E-05;0,000247
211;2,085147;;2,085147;2,085381;0,000234;;1,30E-05;0,000221;0,000208
212;2,085381;;2,085381;2,085602;0,000221;;0,000221;0;-0,000221
213;2,085602;;2,085602;2,085602;0;;0;-0,00443;-0,00443
214;2,085602;;2,085602;2,085602;0;;-0,00443;0,00443;0,00886
215;2,085602;;2,085602;2,090032;0,00443;;0,00443;0;-0,00443
216;2,090032;;2,090032;2,090032;0;;0;0;0
217;2,090032;;2,090032;2,090032;0;;0;0;0
218;2,090032;;2,090032;2,090032;0;;0;0;0
219;2,090032;;2,090032;2,090032;0;;0;0;0
220;2,090032;;2,090032;2,090032;0;;0;0;0
221;2,090032;;2,090032;2,090032;0;;0;0;0
222;2,090032;;2,090032;2,090032;0;;0;0;0
223;2,090032;;2,090032;2,090032;0;;0;0;0
224;2,090032;;2,090032;2,090032;0;;0;-0,000566;-0,000566
225;2,090032;;2,090032;2,090032;0;;-0,000566;-4,70E-05;0,000519
226;2,090032;;2,090032;2,090598;0,000566;;-4,70E-05;-0,000926;-0,000879
