"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","54.241.194.76","192.168.1.8","TLSv1.2","100","Application Data"
"2","0.000000","54.241.194.76","192.168.1.8","TLSv1.2","85","Encrypted Alert"
"3","0.000000","52.18.172.54","192.168.1.8","TLSv1.2","100","Application Data"
"4","0.000000","52.18.172.54","192.168.1.8","TLSv1.2","85","Encrypted Alert"
"5","0.000000","52.18.172.54","192.168.1.8","TCP","54","443  >  62015 [FIN, ACK] Seq=78 Ack=1 Win=28944 Len=0"
"6","0.000097","192.168.1.8","54.241.194.76","TCP","54","62016  >  443 [ACK] Seq=1 Ack=79 Win=64501 Len=0"
"7","0.000165","192.168.1.8","52.18.172.54","TCP","54","62015  >  443 [ACK] Seq=1 Ack=79 Win=64513 Len=0"
"8","0.000322","192.168.1.8","54.241.194.76","TCP","54","62016  >  443 [FIN, ACK] Seq=1 Ack=79 Win=64501 Len=0"
"9","0.000520","192.168.1.8","52.18.172.54","TCP","54","62015  >  443 [FIN, ACK] Seq=1 Ack=79 Win=64513 Len=0"
"10","0.029464","52.11.37.209","192.168.1.8","TLSv1.2","100","Application Data"
"11","0.029464","52.11.37.209","192.168.1.8","TLSv1.2","85","Encrypted Alert"
"12","0.029549","192.168.1.8","52.11.37.209","TCP","54","59617  >  443 [ACK] Seq=1 Ack=79 Win=65263 Len=0"
"13","0.029734","192.168.1.8","52.11.37.209","TCP","54","59617  >  443 [FIN, ACK] Seq=1 Ack=79 Win=65263 Len=0"
"14","0.047055","18.140.168.9","192.168.1.8","TLSv1.2","85","Encrypted Alert"
"15","0.091092","192.168.1.8","18.140.168.9","TCP","54","59618  >  443 [ACK] Seq=1 Ack=32 Win=65309 Len=0"
"16","0.173941","3.229.229.140","192.168.1.8","TLSv1.2","100","Application Data"
"17","0.173941","3.229.229.140","192.168.1.8","TLSv1.2","85","Encrypted Alert"
"18","0.173941","3.229.229.140","192.168.1.8","TCP","54","443  >  62018 [FIN, ACK] Seq=78 Ack=1 Win=28944 Len=0"
"19","0.174006","192.168.1.8","3.229.229.140","TCP","54","62018  >  443 [ACK] Seq=1 Ack=79 Win=64967 Len=0"
"20","0.174215","192.168.1.8","3.229.229.140","TCP","54","62018  >  443 [FIN, ACK] Seq=1 Ack=79 Win=64967 Len=0"
"21","0.201758","54.241.194.76","192.168.1.8","TCP","54","443  >  62016 [ACK] Seq=79 Ack=2 Win=28885 Len=0"
"22","0.207904","52.18.172.54","192.168.1.8","TCP","54","443  >  62015 [ACK] Seq=79 Ack=2 Win=28944 Len=0"
"23","0.249832","52.11.37.209","192.168.1.8","TCP","54","443  >  59617 [ACK] Seq=79 Ack=2 Win=30016 Len=0"
"24","0.291972","52.223.40.198","192.168.1.8","TLSv1.2","100","Application Data"
"25","0.291972","52.223.40.198","192.168.1.8","TLSv1.2","85","Encrypted Alert"
"26","0.291972","54.255.51.206","192.168.1.8","TLSv1.2","100","Application Data"
"27","0.291972","52.223.40.198","192.168.1.8","TCP","54","443  >  59612 [FIN, ACK] Seq=78 Ack=1 Win=65535 Len=0"
"28","0.291972","54.255.51.206","192.168.1.8","TLSv1.2","85","Encrypted Alert"
